_id,associatedMedia._id,associatedMedia.assetID,associatedMedia.category,associatedMedia.created,associatedMedia.creator,associatedMedia.format,associatedMedia.identifier,associatedMedia.license,associatedMedia.modified,associatedMedia.PixelXDimension,associatedMedia.PixelYDimension,associatedMedia.rightsHolder,associatedMedia.title,associatedMedia.type,associatedMediaCount,barcode,basisOfRecord,catalogNumber,catalogueDescription,chronostratigraphy,class,collectionCode,continent,coordinateUncertaintyInMeters,country,created,day,decimalLatitude,decimalLongitude,determinationFiledAs,determinationNames,donorName,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,expedition,family,gbifID,gbifIssue,genus,habitat,higherClassification,higherGeography,identifiedBy,individualCount,infraspecificEpithet,institutionCode,island,kindOfObject,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lifeStage,locality,modified,month,occurrenceID,occurrenceStatus,order,otherCatalogNumbers,phylum,preservative,project,recordedBy,samplingProtocol,scientificName,scientificNameAuthorship,sex,specificEpithet,stateProvince,subDepartment,subgenus,typeStatus,verbatimLatitude,verbatimLongitude,waterBody,year,Source resource ID
6547727,1723156 | 1723157 | 1723158 | 1723159,aea974d1-e94b-4ab4-a95c-042804c787e0 | 49a489c5-b409-47c9-9177-a9fdb29257b1 | 65b6ff6a-93fe-4f26-8562-ab2f56014983 | aaf2c550-2c78-4c82-8498-d59ca0f4e83d,Specimen | Specimen | Specimen | Specimen,2016-04-08T11:11:18+00:00 | 2016-04-08T11:15:37+00:00 | 2016-04-08T11:18:36+00:00 | 2016-04-08T11:19:36+00:00,None | Harry Taylor | Harry Taylor | Harry Taylor,image/jpeg | image/tiff | image/tiff | image/tiff,https://data.nhm.ac.uk/media/aea974d1-e94b-4ab4-a95c-042804c787e0 | https://data.nhm.ac.uk/media/49a489c5-b409-47c9-9177-a9fdb29257b1 | https://data.nhm.ac.uk/media/65b6ff6a-93fe-4f26-8562-ab2f56014983 | https://data.nhm.ac.uk/media/aaf2c550-2c78-4c82-8498-d59ca0f4e83d,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2016-04-13T22:05:58+00:00 | 2016-04-13T22:05:33+00:00 | 2016-04-13T22:05:25+00:00 | 2016-04-13T22:04:05+00:00,846 | 2126 | 2323 | 1567,462 | 1800 | 1890 | 2403,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",NHMUK010264309 barcode label male | NHMUK010264309 aedes albopictus labels male | NHMUK010264309 Anopheles albopictus lateral male | NHMUK010264309 Anopheles albopictus dorsal male,StillImage | StillImage | StillImage | StillImage,4,010264309,PreservedSpecimen,NHMUK010264309,,,Insecta,BMNH(E),,,,2016-04-08T11:10:30+00:00,14,,,,"Aedes (Stegomyia) albopictus (Skuse, 1894)",Anthony M. Hutson,,,,,,,Culicidae,1825775248,MODIFIED_DATE_INVALID | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Aedes,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Culicinae,,,1,,NHMUK,,,,,,,,adult,Chargos Archipelago; Diego Garcia; Nearest Named Place: Balisage,2022-03-09T14:28:05+00:00,5,bd68cf9f-9beb-4c2a-86e6-b3c1755f033e,present,Diptera,NHMUK:ecatalogue:6547727,Arthropoda,Dry (pinned),,Anthony M. Hutson,,"Aedes (Stegomyia) albopictus (Skuse, 1894)","(Skuse, 1894)",Male,albopictus,,Diptera and Siphonaptera,Stegomyia,,,,,1971,05ff2255-c38a-40c9-b657-4ccb55ab2feb
6547717,1723144 | 1723145 | 1723146 | 1723147,82bfedc6-0159-40dc-8f45-6ed2f2551568 | 93bd1357-dd16-4e99-89f1-b2f3ba8930cc | 2adff4de-9377-4e63-8e43-ab6ea7017c8e | 4ae3985e-abc1-49af-992e-6f4fc5164d55,Specimen | Specimen | Specimen | Specimen,2016-04-08T10:15:54+00:00 | 2016-04-08T10:38:36+00:00 | 2016-04-08T10:40:41+00:00 | 2016-04-08T10:42:19+00:00,Harry Taylor | Harry Taylor | Harry Taylor | Harry Taylor,image/tiff | image/jpeg | image/tiff | image/tiff,https://data.nhm.ac.uk/media/82bfedc6-0159-40dc-8f45-6ed2f2551568 | https://data.nhm.ac.uk/media/93bd1357-dd16-4e99-89f1-b2f3ba8930cc | https://data.nhm.ac.uk/media/2adff4de-9377-4e63-8e43-ab6ea7017c8e | https://data.nhm.ac.uk/media/4ae3985e-abc1-49af-992e-6f4fc5164d55,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2016-04-13T22:04:46+00:00 | 2016-04-13T22:05:38+00:00 | 2016-04-13T22:06:13+00:00 | 2016-04-13T22:04:28+00:00,1535 | 882 | 2388 | 2212,1941 | 582 | 2000 | 2665,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",NHMUK 010264306 Aedes aqgytpi labels | NHMUK010264306 Aedes agypti - bar code | NHMUK010264306 Aedes agypti - lateral | NHMUK010264306 Aedes agypti - dorsal,StillImage | StillImage | StillImage | StillImage,4,010264306,PreservedSpecimen,NHMUK010264306,,,Insecta,BMNH(E),Africa,,Cameroon,2016-04-08T10:12:56+00:00,,2.92,11.15,,"Aedes (Stegomyia) aegypti (Linnaeus, 1762)",,,,,,,,Culicidae,1269973368,MODIFIED_DATE_INVALID | GEODETIC_DATUM_ASSUMED_WGS84 | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Aedes,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Culicinae,Africa; Cameroon; Sud; Mvila,,1,,NHMUK,,,,,,,,adult,South; Ebolowa,2022-01-17T12:23:26+00:00,,1814146c-4003-487f-961c-0012aa592de6,present,Diptera,NHMUK:ecatalogue:6547717,Arthropoda,Dry (pinned),,C. Dye,,"Aedes (Stegomyia) aegypti (Linnaeus, 1762)","(Linnaeus, 1762)",Female,aegypti,Sud,Diptera and Siphonaptera,Stegomyia,,02 55  N,011 09  E,,,05ff2255-c38a-40c9-b657-4ccb55ab2feb
6547726,1723152 | 1723153 | 1723154 | 1723155,6d9529b4-4f6a-4249-a000-68a05ed471a7 | 34ca346b-2372-4486-bf5e-767eb4a6a33e | b0f6939c-f31f-468a-8be7-b2df37fed136 | 6cfde834-4507-410b-8c01-15b6cd21c2e5,Specimen | Specimen | Specimen | Specimen,2016-04-08T10:59:57+00:00 | 2016-04-08T11:01:46+00:00 | 2016-04-08T11:06:06+00:00 | 2016-04-08T11:08:45+00:00,Harry Taylor | Harry Taylor | Harry Taylor | Erica McAlister,image/tiff | image/tiff | image/tiff | image/jpeg,https://data.nhm.ac.uk/media/6d9529b4-4f6a-4249-a000-68a05ed471a7 | https://data.nhm.ac.uk/media/34ca346b-2372-4486-bf5e-767eb4a6a33e | https://data.nhm.ac.uk/media/b0f6939c-f31f-468a-8be7-b2df37fed136 | https://data.nhm.ac.uk/media/6cfde834-4507-410b-8c01-15b6cd21c2e5,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2016-04-13T22:05:09+00:00 | 2016-04-13T22:04:24+00:00 | 2016-04-13T22:04:43+00:00 | 2016-04-13T22:05:20+00:00,2126 | 2392 | 1977 | 1128,1875 | 1892 | 2867 | 570,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",NHMUK010264308 Aedes albopictus - labels | NHMUK010264308 Aedes albopictus - lateral female | NHMUK010264308 Aedes albopictus - dorsal female | NHMUK010264308 Aedes albopictus - barcode label female,StillImage | StillImage | StillImage | StillImage,4,010264308,PreservedSpecimen,NHMUK010264308,,,Insecta,BMNH(E),,,,2016-04-08T10:54:27+00:00,17,,,,"Aedes (Stegomyia) albopictus (Skuse, 1894)",,,,,,,,Culicidae,1269973276,MODIFIED_DATE_INVALID | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Aedes,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Culicinae,,,1,,NHMUK,,,,,,,,adult,Chargos Archipelago; Diego Garcia; Nearest Named Place: Pointe Marianne,2022-03-09T14:28:05+00:00,4,7def4503-b641-44b7-95fb-40a55fa4c92d,present,Diptera,NHMUK:ecatalogue:6547726,Arthropoda,Dry (pinned),,Anthony M. Hutson,,"Aedes (Stegomyia) albopictus (Skuse, 1894)","(Skuse, 1894)",Female,albopictus,,Diptera and Siphonaptera,Stegomyia,,,,,1971,05ff2255-c38a-40c9-b657-4ccb55ab2feb
6547725,1723148 | 1723149 | 1723150 | 1723151,0dd830b7-715d-4e41-a145-42ba47068f6a | 89bf0fca-26c5-42c6-8f4a-2d6171bc3271 | 0763ad87-7811-49c2-9099-5d9c3e220236 | a3502d21-0ed4-4989-878f-0f58648f9bf3,Specimen | Specimen | Specimen | Specimen,2016-04-08T10:45:22+00:00 | 2016-04-08T10:46:53+00:00 | 2016-04-08T10:49:05+00:00 | 2016-04-08T10:52:22+00:00,Harry Taylor | Erica McAlister | Harry Taylor | Harry Taylor,image/tiff | image/jpeg | image/tiff | image/tiff,https://data.nhm.ac.uk/media/0dd830b7-715d-4e41-a145-42ba47068f6a | https://data.nhm.ac.uk/media/89bf0fca-26c5-42c6-8f4a-2d6171bc3271 | https://data.nhm.ac.uk/media/0763ad87-7811-49c2-9099-5d9c3e220236 | https://data.nhm.ac.uk/media/a3502d21-0ed4-4989-878f-0f58648f9bf3,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2016-04-13T22:03:39+00:00 | 2016-04-13T22:06:27+00:00 | 2016-04-13T22:05:55+00:00 | 2016-04-13T22:04:52+00:00,2717 | 1002 | 2797 | 2580,1314 | 582 | 2375 | 2751,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",NHMUK010264307 Aedes aegypti labels | NHMUK010264307 Aedes aegypti - barcode | NHMUK010264307 Aedes aegypti - lateral male | NHMUK010264307 Aedes aegypti - dorsal male,StillImage | StillImage | StillImage | StillImage,4,010264307,PreservedSpecimen,NHMUK010264307,,,Insecta,BMNH(E),Australia,,Australia,2016-04-08T10:44:13+00:00,1 - 31,,,,"Aedes (Stegomyia) aegypti (Linnaeus, 1762)",,,,,,,,Culicidae,1825775259,RECORDED_DATE_INVALID | MODIFIED_DATE_INVALID | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Aedes,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Culicinae,Australia; Australia,,1,,NHMUK,Mornington Island,,,,,,,adult,,2022-01-17T12:28:36+00:00,3,7d0b2502-14c4-4138-85d5-44e8b90ea3b4,present,Diptera,NHMUK:ecatalogue:6547725,Arthropoda,Dry (pinned),,Anthony R. Woodhill,,"Aedes (Stegomyia) aegypti (Linnaeus, 1762)","(Linnaeus, 1762)",Male,aegypti,,Diptera and Siphonaptera,Stegomyia,,,,Western Central Pacific Ocean; Gulf of Carpentaria,1959,05ff2255-c38a-40c9-b657-4ccb55ab2feb
8177633,2125430 | 2125431 | 2125432 | 2125433,c80fad02-0855-4b43-a859-5cf56ee3dc57 | fc973358-a9dd-4994-9592-f1319a9c8c87 | 549af67a-e37b-49fe-9c6a-69b7a69bf32c | 8088c5df-d6a1-405c-a611-1e7431f69576,Specimen | Specimen | Specimen | Specimen,2017-10-10T11:25:33+00:00 | 2017-10-10T11:27:32+00:00 | 2017-10-10T11:29:55+00:00 | 2017-10-10T11:34:41+00:00,Harry Taylor | Harry Taylor | Harry Taylor | Harry Taylor,image/tiff | image/tiff | image/tiff | image/tiff,https://data.nhm.ac.uk/media/c80fad02-0855-4b43-a859-5cf56ee3dc57 | https://data.nhm.ac.uk/media/fc973358-a9dd-4994-9592-f1319a9c8c87 | https://data.nhm.ac.uk/media/549af67a-e37b-49fe-9c6a-69b7a69bf32c | https://data.nhm.ac.uk/media/8088c5df-d6a1-405c-a611-1e7431f69576,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2017-10-12T22:40:59+00:00 | 2017-10-12T22:40:56+00:00 | 2017-10-12T22:40:57+00:00 | 2017-10-12T22:40:57+00:00,2598 | 4134 | 4134 | 4134,1333 | 2558 | 2613 | 2559,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",NHMUK010630136 & NHMUK010630137 labels | NHMUK010630136 & NHMUK010630137 whole body lateral | NHMUK010630136 & NHMUK010630137 whole body dorsal | NHMUK010630136 & NHMUK010630137 whole body head,StillImage | StillImage | StillImage | StillImage,4,010360137,PreservedSpecimen,NHMUK010360137,,,Insecta,BMNH(E),South America,,Brazil,2017-10-10T11:07:40+00:00,6,-23.8710,-47.9315,,"Culex (Melanoconion) theobaldi (Lutz, 1904)",,,,,,,,Culicidae,1826365996,MODIFIED_DATE_INVALID | GEODETIC_DATUM_ASSUMED_WGS84 | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Culex,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Culicinae,South America; Brazil; São Paulo; São Miguel Arcanjo,,1,,NHMUK,,,,,,,,adult,Fazenda Santa elisa,2022-01-17T12:43:22+00:00,3,678d816f-e5bb-45bb-9875-3d16c1497a20,present,Diptera,NHMUK:ecatalogue:8177633,Arthropoda,Dry - pinned,,,,"Culex (Melanoconion) theobaldi (Lutz, 1904)","(Lutz, 1904)",Female,theobaldi,São Paulo,Diptera and Siphonaptera,Melanoconion,PARALECTOTYPE,23 52 16 S,047 55 53 W,,1904,05ff2255-c38a-40c9-b657-4ccb55ab2feb
8219492,2226139 | 2226140 | 2226141 | 2226142,2ebae792-939f-427b-9451-e91d8894ecb0 | 8c9e72e5-71b4-4973-87b5-25906e322307 | 6e67f358-0403-40a5-9908-94253506e058 | e98b537f-be22-464a-a952-4856d96b1b23,Specimen | Specimen | Specimen | Specimen,2017-11-22T09:29:35+00:00 | 2017-11-22T09:31:30+00:00 | 2017-11-22T09:33:29+00:00 | 2017-11-22T09:34:17+00:00,Harry Taylor | Harry Taylor | Harry Taylor | Harry Taylor,image/tiff | image/tiff | image/tiff | image/tiff,https://data.nhm.ac.uk/media/2ebae792-939f-427b-9451-e91d8894ecb0 | https://data.nhm.ac.uk/media/8c9e72e5-71b4-4973-87b5-25906e322307 | https://data.nhm.ac.uk/media/6e67f358-0403-40a5-9908-94253506e058 | https://data.nhm.ac.uk/media/e98b537f-be22-464a-a952-4856d96b1b23,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2018-04-12T23:47:08+00:00 | 2018-04-12T23:47:38+00:00 | 2018-04-12T23:46:59+00:00 | 2018-04-12T23:45:40+00:00,2362 | 2244 | 2717 | 2480,1575 | 1655 | 1327 | 1525,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",NHMUK 010976524_Anopheles gambiae_ST_labels | NHMUK 010976524_Anopheles gambiae_ST_whole body lateral | NHMUK 010976524_Anopheles gambiae_ST_wing | NHMUK 010976524_Anopheles gambiae_ST_head,StillImage | StillImage | StillImage | StillImage,4,010976524,PreservedSpecimen,NHMUK010976524,,,Insecta,BMNH(E),Africa,58.36754115,Gambia,2017-11-22T09:25:59+00:00,,,,Yes,"Anopheles (Cellia) gambiae Giles, 1902",,,,,,,,Culicidae,1826400760,MODIFIED_DATE_INVALID | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Anopheles,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Anophelinae,Africa; Gambia,,1,,NHMUK,,,,,,,,adult,,2022-01-17T15:03:30+00:00,,2d451672-1002-4d89-b8c0-a018191c6eff,present,Diptera,NHMUK:ecatalogue:8219492,Arthropoda,Dry - pinned,,Dr Burdett,,"Anopheles (Cellia) gambiae Giles, 1902","Giles, 1902",,gambiae,,Diptera and Siphonaptera,Cellia,SYNTYPE,,,,,05ff2255-c38a-40c9-b657-4ccb55ab2feb
8438057,2297758 | 2297782,cd3b1f2c-3e59-4495-9c96-6a16d7f9ccc8 | c8042a02-410c-49d5-b29e-d9b8548e18e4,Specimen | Specimen,2018-06-08T16:18:39+00:00 | 2018-06-08T16:19:36+00:00,Huiqing Yeo | Huiqing Yeo,image/tiff | image/tiff,https://data.nhm.ac.uk/media/cd3b1f2c-3e59-4495-9c96-6a16d7f9ccc8 | https://data.nhm.ac.uk/media/c8042a02-410c-49d5-b29e-d9b8548e18e4,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2018-06-10T22:00:42+00:00 | 2018-06-10T22:00:21+00:00,2268 | 2268,2268 | 2268,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",012816218_Culex_navalis_antenna_male_x10 | 012816218_Culex_navalis_gonocoxite_male_x10,StillImage | StillImage,2,012816218,PreservedSpecimen,NHMUK012816218,,,Insecta,BMNH(E),Asia,15.00887035,Singapore,2018-06-08T11:36:42+00:00,,,,,Culex navalis Edwards,,,,,,,,Culicidae,1849044995,MODIFIED_DATE_INVALID | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Culex,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Culicinae,Asia; Singapore,,1,,NHMUK,,,,,,,,,,2021-01-31T06:54:35+00:00,,a08dbee9-4dab-4e36-9f55-60bbdeefd5f0,present,Diptera,NHMUK:ecatalogue:8438057,Arthropoda,Slide,,,,Culex navalis Edwards,Edwards,Male,navalis,,Diptera and Siphonaptera,,LECTOTYPE,,,,,05ff2255-c38a-40c9-b657-4ccb55ab2feb
8438059,2297769 | 2297776,86c1d5ab-937f-4f09-ac80-1a9948fd12a9 | 5aa08370-72a0-4183-b27b-76f080780f16,Specimen | Label,2018-06-08T16:18:55+00:00 | 2018-06-08T16:19:27+00:00,Huiqing Yeo | Huiqing Yeo,image/tiff | image/tiff,https://data.nhm.ac.uk/media/86c1d5ab-937f-4f09-ac80-1a9948fd12a9 | https://data.nhm.ac.uk/media/5aa08370-72a0-4183-b27b-76f080780f16,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2018-06-10T22:00:39+00:00 | 2018-06-10T22:00:43+00:00,2380 | 308,3170 | 461,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",010633449_Culex_acutipalpis_male | 010633449_Culex_acutipalpis_label,StillImage | StillImage,2,010633449,PreservedSpecimen,NHMUK010633449,,,Insecta,BMNH(E),Asia,15.00887035,Singapore,2018-06-08T11:36:44+00:00,28,,,,Culex acutipalus Colless,,,,,,,,Culicidae,1849046516,MODIFIED_DATE_INVALID | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Culex,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Culicinae,Asia; Singapore,,1,,NHMUK,,,,,,,,,,2022-01-17T14:19:02+00:00,11,991e6eb1-80fa-4cc7-b642-db76d209faaf,present,Diptera,NHMUK:ecatalogue:8438059,Arthropoda,Dry - mounted,,,,Culex acutipalus Colless,Colless,Male,acutipalus,,Diptera and Siphonaptera,,PARATYPE,,,,1958,05ff2255-c38a-40c9-b657-4ccb55ab2feb
8438035,2297735 | 2297742 | 2297746 | 2297756,46c59752-a2c6-4a2e-919c-94d238bcdff1 | 14fa8981-a43e-4de1-80f6-5a5766c971e9 | eaed464b-4982-4c63-b404-329ca71e24be | 76f49047-b5f3-4588-8b77-3825e53fad51,Specimen | Specimen | Specimen | Specimen,2018-06-08T16:18:06+00:00 | 2018-06-08T16:18:17+00:00 | 2018-06-08T16:18:23+00:00 | 2018-06-08T16:18:37+00:00,Huiqing Yeo | Huiqing Yeo | Huiqing Yeo | Huiqing Yeo,image/tiff | image/tiff | image/tiff | image/tiff,https://data.nhm.ac.uk/media/46c59752-a2c6-4a2e-919c-94d238bcdff1 | https://data.nhm.ac.uk/media/14fa8981-a43e-4de1-80f6-5a5766c971e9 | https://data.nhm.ac.uk/media/eaed464b-4982-4c63-b404-329ca71e24be | https://data.nhm.ac.uk/media/76f49047-b5f3-4588-8b77-3825e53fad51,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2018-06-10T22:00:58+00:00 | 2018-06-10T22:00:54+00:00 | 2018-06-10T22:00:51+00:00 | 2018-06-10T22:00:34+00:00,2268 | 2268 | 2268 | 2268,2268 | 2268 | 2268 | 2268,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",012816244_Culex_acutipalus_gonocoxite_male_x24 | 012816244_Culex_acutipalus_proctiger_and_phallosome2_male_x32 | 012816244_Culex_acutipalus_overview_male_6 | 012816244_Culex_acutipalus_proctiger_and_phallosome_male_x32,StillImage | StillImage | StillImage | StillImage,4,012816244,PreservedSpecimen,NHMUK012816244,,,Insecta,BMNH(E),Asia,15.00887035,Singapore,2018-06-08T11:36:13+00:00,,,,,Culex acutipalus Colless,,,,,,,,Culicidae,1849044924,MODIFIED_DATE_INVALID | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Culex,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Culicinae,Asia; Singapore,,1,,NHMUK,,,,,,,,,,2022-01-17T16:31:57+00:00,,cfbc6250-925d-4b4d-bb06-4052b2bfadb8,present,Diptera,NHMUK:ecatalogue:8438035,Arthropoda,Slide,,,,Culex acutipalus Colless,Colless,Male,acutipalus,,Diptera and Siphonaptera,,PARATYPE,,,,,05ff2255-c38a-40c9-b657-4ccb55ab2feb
9791816,4195860 | 4195907 | 4196004 | 4196018,c5116d69-3d46-4d85-a0d8-52ee4b125ac0 | e7b2bc3a-1c0b-4b38-96de-0574bcef60ff | c3f5d789-f698-4077-a98e-2464c415b830 | 8ffbba41-9639-461b-9ddf-2ed6289fb2db,Specimen | Specimen | Specimen | Specimen,2022-09-06T12:48:28+00:00 | 2022-09-06T12:53:46+00:00 | 2022-09-06T13:05:29+00:00 | 2022-09-06T13:07:17+00:00,None | None | None | None,image/jpeg | image/tiff | image/tiff | image/tiff,https://data.nhm.ac.uk/media/c5116d69-3d46-4d85-a0d8-52ee4b125ac0 | https://data.nhm.ac.uk/media/e7b2bc3a-1c0b-4b38-96de-0574bcef60ff | https://data.nhm.ac.uk/media/c3f5d789-f698-4077-a98e-2464c415b830 | https://data.nhm.ac.uk/media/8ffbba41-9639-461b-9ddf-2ed6289fb2db,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2022-09-06T14:07:13+00:00 | 2022-09-06T14:07:14+00:00 | 2022-09-06T14:07:17+00:00 | 2022-09-06T14:07:18+00:00,5792 | 8636 | 8640 | 8640,2064 | 5790 | 5790 | 5790,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",012813531_Dorsal_Labels | 012813531_Habitus_x5_c | 012813531_Habitus_x5_b | 012813531_Habitus_x5_a,StillImage | StillImage | StillImage | StillImage,4,012813531,PreservedSpecimen,NHMUK012813531,,,Insecta,BMNH(E),Asia,,Saudi Arabia,2022-04-25T10:31:49+00:00,,,,,"Anopheles (Cellia) stephensi Liston, 1901",,,,,,,,Culicidae,3764743768,MODIFIED_DATE_INVALID | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Anopheles,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Anophelinae,Asia; Saudi Arabia,,5,,NHMUK,,,,,,,,larva,,2024-10-24T10:21:37+00:00,,35754944-613b-4b56-99fc-16a4d3ce5070,present,Diptera,NHMUK:ecatalogue:9791816,Arthropoda,,,,,"Anopheles (Cellia) stephensi Liston, 1901","Liston, 1901",,stephensi,,Diptera and Siphonaptera,Cellia,,,,,,05ff2255-c38a-40c9-b657-4ccb55ab2feb
9791800,4196125 | 4196163,7862caf8-ef26-4ae8-a4d3-50d70e7050a1 | bc37c2c8-9c2b-451c-8f42-938c68c64281,Specimen | Specimen,2022-09-06T13:19:47+00:00 | 2022-09-06T13:24:27+00:00,None | None,image/jpeg | image/tiff,https://data.nhm.ac.uk/media/7862caf8-ef26-4ae8-a4d3-50d70e7050a1 | https://data.nhm.ac.uk/media/bc37c2c8-9c2b-451c-8f42-938c68c64281,http://creativecommons.org/licenses/by/4.0/ | http://creativecommons.org/licenses/by/4.0/,2022-09-06T14:07:22+00:00 | 2022-09-06T14:07:23+00:00,5792 | 8630,2064 | 5790,"The Trustees of the Natural History Museum, London | The Trustees of the Natural History Museum, London",012813515_Dorsal_Labels | 012813515_Habitus_x5,StillImage | StillImage,2,012813515,PreservedSpecimen,NHMUK012813515,,,Insecta,BMNH(E),Asia,,Iraq,2022-04-25T10:19:47+00:00,,,,,"Anopheles (Cellia) stephensi Liston, 1901",,,,,,,,Culicidae,3764746790,MODIFIED_DATE_INVALID | INSTITUTION_MATCH_FUZZY | COLLECTION_MATCH_NONE | MULTIMEDIA_DATE_INVALID,Anopheles,,Arthropoda; Insecta; Diptera; Nematocera; Culicidae; Anophelinae,Asia; Iraq,,1,,NHMUK,,,,,,,,pupa,,2024-10-24T10:21:52+00:00,,7ca51512-8691-4096-bfa8-8be1e8d7163f,present,Diptera,NHMUK:ecatalogue:9791800,Arthropoda,,,,,"Anopheles (Cellia) stephensi Liston, 1901","Liston, 1901",,stephensi,,Diptera and Siphonaptera,Cellia,,,,,,05ff2255-c38a-40c9-b657-4ccb55ab2feb
